"species","lon","lat"
"Neovison vison",-0.83,40.14
"Neovison vison",-2.82,42.59
"Neovison vison",-2.94,42.86
"Neovison vison",-0.83,40.23
"Neovison vison",-2.69,43.13
"Neovison vison",-2.82,42.86
"Neovison vison",-2.82,42.68
"Neovison vison",-2.94,42.95
"Neovison vison",-2.69,43.22
"Neovison vison",-2.69,42.86
"Neovison vison",-2.82,42.95
"Neovison vison",-2.82,42.77
"Neovison vison",-2.94,43.13
"Neovison vison",-2.69,42.95
"Neovison vison",-2.69,43.31
"Neovison vison",-2.82,43.22
"Neovison vison",-2.82,43.13
"Neovison vison",-2.94,43.22
"Neovison vison",-2.69,43.04
"Neovison vison",-2.82,43.31
"Neovison vison",-2.94,43.31
"Neovison vison",-2.69,42.77
"Neovison vison",-3.06,42.14
"Neovison vison",-3.91,42.58
"Neovison vison",-4.03,42.49
"Neovison vison",-3.18,42.14
"Neovison vison",-3.92,42.67
"Neovison vison",-3.18,42.23
"Neovison vison",-3.06,41.96
"Neovison vison",-3.06,41.6
"Neovison vison",-4.04,42.58
"Neovison vison",-3.06,42.05
"Neovison vison",-3.91,42.49
"Neovison vison",2.1,41.95
"Neovison vison",1.98,41.68
"Neovison vison",2.1,41.77
"Neovison vison",2.09,42.04
"Neovison vison",2.22,41.68
"Neovison vison",2.1,41.86
"Neovison vison",1.97,42.04
"Neovison vison",2.22,41.86
"Neovison vison",1.98,41.59
"Neovison vison",2.1,41.59
"Neovison vison",1.98,41.77
"Neovison vison",-5.77,40.3
"Neovison vison",2.22,41.77
"Neovison vison",-5.92,41.11
"Neovison vison",2.22,41.95
"Neovison vison",1.97,42.22
"Neovison vison",2.1,41.68
"Neovison vison",-5.8,41.11
"Neovison vison",2.09,42.13
"Neovison vison",-5.77,40.39
"Neovison vison",-5.99,41.19
"Neovison vison",1.98,41.86
"Neovison vison",-5.79,40.93
"Neovison vison",-4.48,40.69
"Neovison vison",-5.76,40.12
"Neovison vison",-5.91,40.93
"Neovison vison",2.22,41.59
"Neovison vison",-4.49,40.96
"Neovison vison",-5.67,40.94
"Neovison vison",-4.61,41.32
"Neovison vison",-5.83,41.83
"Neovison vison",-5.64,40.04
"Neovison vison",1.97,41.95
"Neovison vison",-5.55,40.85
"Neovison vison",-5.8,41.02
"Neovison vison",-5.97,41.12
"Neovison vison",-5.97,40.92
"Neovison vison",-5.99,41.46
